"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"40","com.trigyn.jws.usermanagement.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\usermanagement\service\UserConfigService.java","3","133","These nested if statements could be combined","Design","CollapsibleIfStatements"
"41","com.trigyn.jws.usermanagement.utils","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\usermanagement\utils\LdapConfigHelper.java","2","50","Avoid using a branching statement as the last in a loop.","Error Prone","AvoidBranchingStatementAsLastInLoop"
"42","com.trigyn.jws.webstarter.controller","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\controller\JwsUserRegistrationController.java","3","299","These nested if statements could be combined","Design","CollapsibleIfStatements"
"43","com.trigyn.jws.webstarter.controller","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\controller\JwsUserRegistrationController.java","3","302","These nested if statements could be combined","Design","CollapsibleIfStatements"
"44","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\ImportService.java","3","1282","These nested if statements could be combined","Design","CollapsibleIfStatements"
"45","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\ImportService.java","3","1297","These nested if statements could be combined","Design","CollapsibleIfStatements"
"46","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\MasterCreatorService.java","3","476","These nested if statements could be combined","Design","CollapsibleIfStatements"
"47","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\UserManagementService.java","3","974","These nested if statements could be combined","Design","CollapsibleIfStatements"
"48","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\UserManagementService.java","3","1030","These nested if statements could be combined","Design","CollapsibleIfStatements"
"49","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\UserManagementService.java","3","1036","These nested if statements could be combined","Design","CollapsibleIfStatements"
"50","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\UserManagementService.java","3","1581","These nested if statements could be combined","Design","CollapsibleIfStatements"
"51","com.trigyn.jws.webstarter.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\service\UserManagementService.java","3","1641","These nested if statements could be combined","Design","CollapsibleIfStatements"
"52","com.trigyn.jws.webstarter.utils","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\webstarter\utils\StaticCodeImportConfiguration.java","3","139","These nested if statements could be combined","Design","CollapsibleIfStatements"
